,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
166241,1989-12-30,42.0,Me So Horny,The 2 Live Crew,42.0,26.0,17;
166242,1989-12-30,43.0,Principal's Office,Young M.C.,43.0,43.0,6;
166243,1989-12-30,44.0,I Live By The Groove,Paul Carrack,44.0,31.0,10;
166244,1989-12-30,45.0,Poison,Alice Cooper,45.0,7.0,15;
166245,1989-12-30,46.0,The Arms Of Orion,Prince With Sheena Easton,46.0,36.0,11;
166246,1989-12-30,47.0,Opposites Attract,Paula Abdul (Duet With The Wild Pair),47.0,47.0,3;
166247,1989-12-30,48.0,Steamy Windows,Tina Turner,48.0,48.0,6;
166248,1989-12-30,49.0,Kickstart My Heart,Motley Crue,49.0,49.0,6;
166249,1989-12-30,50.0,Dangerous,Roxette,50.0,50.0,3;
166250,1989-12-30,51.0,Don't Shut Me Out,Kevin Paige,51.0,18.0,20;
166251,1989-12-30,52.0,No More Lies,Michel'le,52.0,52.0,7;
166252,1989-12-30,53.0,If You Leave Me Now,Jaya,53.0,52.0,12;
166253,1989-12-30,54.0,Nothin' To Hide,Poco,54.0,54.0,5;
166254,1989-12-30,55.0,Here We Are,Gloria Estefan,55.0,55.0,3;
166255,1989-12-30,56.0,We Can't Go Wrong,The Cover Girls,56.0,56.0,4;
166256,1989-12-30,57.0,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),57.0,57.0,6;
166257,1989-12-30,58.0,The Angel Song,Great White,58.0,30.0,14;
166258,1989-12-30,59.0,Listen To Your Heart,Roxette,59.0,1.0,19;
166259,1989-12-30,60.0,Wait For You,Bonham,60.0,60.0,6;
166260,1989-12-30,61.0,Woman In Chains,Tears For Fears,61.0,61.0,5;
166261,1989-12-30,62.0,Get On Your Feet,Gloria Estefan,62.0,11.0,14;
166262,1989-12-30,63.0,Pretending,Eric Clapton,63.0,55.0,7;
166263,1989-12-30,64.0,Over And Over,Pajama Party,64.0,59.0,8;
166264,1989-12-30,65.0,Electric Boogie,Marcia Griffiths,65.0,65.0,4;
166265,1989-12-30,66.0,Don't Take It Personal,Jermaine Jackson,66.0,66.0,5;
166266,1989-12-30,67.0,Didn't I (Blow Your Mind),New Kids On The Block,67.0,8.0,16;
166267,1989-12-30,68.0,Price Of Love,Bad English,68.0,68.0,2;
166268,1989-12-30,69.0,French Kiss,Lil Louis,69.0,50.0,11;
166269,1989-12-30,70.0,Personal Jesus,Depeche Mode,70.0,70.0,4;
166270,1989-12-30,71.0,I Will Survive,SaFire,71.0,71.0,3;
166271,1989-12-30,72.0,Miss You Much,Janet Jackson,72.0,1.0,18;
166272,1989-12-30,73.0,Hide Your Heart,KISS,73.0,66.0,6;
166273,1989-12-30,74.0,Rock Wit'cha,Bobby Brown,74.0,7.0,19;
166274,1989-12-30,75.0,Serious Kinda Girl,Christopher Max,75.0,75.0,5;
166275,1989-12-30,76.0,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,76.0,76.0,3;
166276,1989-12-30,77.0,Heart,Neneh Cherry,77.0,77.0,4;
166277,1989-12-30,78.0,Here And Now,Luther Vandross,78.0,78.0,2;
166278,1989-12-30,79.0,A Girl Like You,The Smithereens,79.0,79.0,4;
166279,1989-12-30,80.0,Lullaby,The Cure,80.0,74.0,5;
166280,1989-12-30,81.0,Never 2 Much Of U,Dino,81.0,81.0,3;
166281,1989-12-30,82.0,Owwww!,Chunky A,82.0,77.0,5;
166282,1989-12-30,83.0,Back To The Bullet,Saraya,83.0,63.0,8;
166283,1989-12-30,84.0,Gimme Your Good Lovin',Diving For Pearls,84.0,84.0,4;
166284,1989-12-30,85.0,I Didn't Mean To Stay All Night,Starship,85.0,75.0,6;
166285,1989-12-30,86.0,Cover Girl,New Kids On The Block,86.0,2.0,16;
166286,1989-12-30,87.0,I Don't Know,Michael Morales,87.0,81.0,4;
166287,1989-12-30,88.0,Roam,The B-52s,88.0,88.0,2;
166288,1989-12-30,89.0,Girl I Am Searching For You,Stevie B,89.0,56.0,13;
166289,1989-12-30,90.0,Too Hot,Loverboy,90.0,90.0,2;
166290,1989-12-30,91.0,Foolish Heart,Sharon Bryant,91.0,90.0,3;
166291,1989-12-30,92.0,Heat Of The Moment,After 7,92.0,74.0,11;
166292,1989-12-30,93.0,Right And Hype,Abstrac',93.0,93.0,2;
166293,1989-12-30,94.0,Talk To Myself,Christopher Williams,94.0,49.0,17;
166294,1989-12-30,95.0,Girl I'm Gonna Miss You,Milli Vanilli,95.0,1.0,22;
166295,1989-12-30,96.0,When I Looked At Him,Expose,96.0,10.0,20;
166296,1989-12-30,97.0,500 Miles,Hooters,97.0,97.0,4;
166297,1989-12-30,98.0,Touch Me Tonight,Shooting Star,98.0,67.0,9;
166298,1989-12-30,99.0,Sold Me Down The River,The Alarm,99.0,50.0,13;
166299,1989-12-30,100.0,I Think I Can Beat Mike Tyson,D.J. Jazzy Jeff & The Fresh Prince,100.0,58.0,9;
166300,1989-12-23,1.0,Another Day In Paradise,Phil Collins,2.0,1.0,8;
166301,1989-12-23,2.0,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),3.0,2.0,13;
166302,1989-12-23,3.0,We Didn't Start The Fire,Billy Joel,1.0,1.0,11;
166303,1989-12-23,4.0,Rhythm Nation,Janet Jackson,8.0,4.0,7;
166304,1989-12-23,5.0,With Every Beat Of My Heart,Taylor Dayne,5.0,5.0,10;
166305,1989-12-23,6.0,Back To Life,Soul II Soul,4.0,4.0,14;
166306,1989-12-23,7.0,Pump Up The Jam,Technotronic Featuring Felly,7.0,7.0,11;
166307,1989-12-23,8.0,Just Like Jesse James,Cher,10.0,8.0,10;
166308,1989-12-23,9.0,This One's For The Children,New Kids On The Block,13.0,9.0,7;
166309,1989-12-23,10.0,Living In Sin,Bon Jovi,9.0,9.0,12;
166310,1989-12-23,11.0,How Am I Supposed To Live Without You,Michael Bolton,16.0,11.0,9;
166311,1989-12-23,12.0,Everything,Jody Watley,15.0,12.0,11;
166312,1989-12-23,13.0,Blame It On The Rain,Milli Vanilli,6.0,1.0,12;
166313,1989-12-23,14.0,Swing The Mood,Jive Bunny & The Mastermixers,19.0,14.0,9;
166314,1989-12-23,15.0,Just Between You And Me,Lou Gramm,21.0,15.0,9;
166315,1989-12-23,16.0,Love Song,Tesla,20.0,16.0,13;
166316,1989-12-23,17.0,Free Fallin',Tom Petty,23.0,17.0,8;
166317,1989-12-23,18.0,When The Night Comes,Joe Cocker,25.0,18.0,9;
166318,1989-12-23,19.0,Downtown Train,Rod Stewart,30.0,19.0,5;
166319,1989-12-23,20.0,Two To Make It Right,Seduction,28.0,20.0,7;
166320,1989-12-23,21.0,Oh Father,Madonna,27.0,21.0,7;
166321,1989-12-23,22.0,Love Shack,The B-52s,17.0,3.0,17;
166322,1989-12-23,23.0,Rock And A Hard Place,The Rolling Stones,26.0,23.0,8;
166323,1989-12-23,24.0,Don't Close Your Eyes,KIX,11.0,11.0,16;
166324,1989-12-23,25.0,(It's Just) The Way That You Love Me,Paula Abdul,12.0,3.0,19;
166325,1989-12-23,26.0,I Remember You,Skid Row,34.0,26.0,6;
166326,1989-12-23,27.0,When I See You Smile,Bad English,24.0,1.0,15;
166327,1989-12-23,28.0,Angelia,Richard Marx,14.0,4.0,12;
166328,1989-12-23,29.0,Janie's Got A Gun,Aerosmith,40.0,29.0,5;
166329,1989-12-23,30.0,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,37.0,30.0,6;
166330,1989-12-23,31.0,The Last Worthless Evening,Don Henley,22.0,21.0,12;
166331,1989-12-23,32.0,Tender Lover,Babyface,41.0,32.0,6;
166332,1989-12-23,33.0,Bust A Move,Young M.C.,33.0,7.0,22;
166333,1989-12-23,34.0,Peace In Our Time,Eddie Money,42.0,34.0,4;
166334,1989-12-23,35.0,Don't Make Me Over,Sybil,29.0,20.0,14;
166335,1989-12-23,36.0,Leave A Light On,Belinda Carlisle,18.0,11.0,13;
166336,1989-12-23,37.0,Fool For Your Loving,Whitesnake,39.0,37.0,16;
166337,1989-12-23,38.0,What Kind Of Man Would I Be?,Chicago,46.0,38.0,4;
166338,1989-12-23,39.0,Was It Nothing At All,Michael Damian,47.0,39.0,9;
166339,1989-12-23,40.0,Tell Me Why,Expose,50.0,40.0,3;
166340,1989-12-23,41.0,I Want You,Shana,43.0,41.0,12;
166341,1989-12-23,42.0,Me So Horny,The 2 Live Crew,38.0,26.0,16;
166342,1989-12-23,43.0,Principal's Office,Young M.C.,49.0,43.0,5;
166343,1989-12-23,44.0,I Live By The Groove,Paul Carrack,31.0,31.0,9;
166344,1989-12-23,45.0,Poison,Alice Cooper,32.0,7.0,14;
166345,1989-12-23,46.0,The Arms Of Orion,Prince With Sheena Easton,36.0,36.0,10;
166346,1989-12-23,47.0,Opposites Attract,Paula Abdul (Duet With The Wild Pair),72.0,47.0,2;
166347,1989-12-23,48.0,Steamy Windows,Tina Turner,53.0,48.0,5;
166348,1989-12-23,49.0,Kickstart My Heart,Motley Crue,51.0,49.0,5;
166349,1989-12-23,50.0,Dangerous,Roxette,65.0,50.0,2;
166350,1989-12-23,51.0,Don't Shut Me Out,Kevin Paige,35.0,18.0,19;
166351,1989-12-23,52.0,No More Lies,Michel'le,54.0,52.0,6;
166352,1989-12-23,53.0,If You Leave Me Now,Jaya,52.0,52.0,11;
166353,1989-12-23,54.0,Nothin' To Hide,Poco,59.0,54.0,4;
166354,1989-12-23,55.0,Here We Are,Gloria Estefan,68.0,55.0,2;
166355,1989-12-23,56.0,We Can't Go Wrong,The Cover Girls,60.0,56.0,3;
166356,1989-12-23,57.0,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),57.0,57.0,5;
166357,1989-12-23,58.0,The Angel Song,Great White,48.0,30.0,13;
166358,1989-12-23,59.0,Listen To Your Heart,Roxette,44.0,1.0,18;
166359,1989-12-23,60.0,Wait For You,Bonham,64.0,60.0,5;
166360,1989-12-23,61.0,Woman In Chains,Tears For Fears,67.0,61.0,4;
166361,1989-12-23,62.0,Get On Your Feet,Gloria Estefan,45.0,11.0,13;
166362,1989-12-23,63.0,Pretending,Eric Clapton,55.0,55.0,6;
166363,1989-12-23,64.0,Over And Over,Pajama Party,63.0,59.0,7;
166364,1989-12-23,65.0,Electric Boogie,Marcia Griffiths,73.0,65.0,3;
166365,1989-12-23,66.0,Don't Take It Personal,Jermaine Jackson,70.0,66.0,4;
166366,1989-12-23,67.0,Didn't I (Blow Your Mind),New Kids On The Block,58.0,8.0,15;
166367,1989-12-23,68.0,Price Of Love,Bad English,,68.0,1;
166368,1989-12-23,69.0,French Kiss,Lil Louis,62.0,50.0,10;
166369,1989-12-23,70.0,Personal Jesus,Depeche Mode,84.0,70.0,3;
166370,1989-12-23,71.0,I Will Survive,SaFire,80.0,71.0,2;
166371,1989-12-23,72.0,Miss You Much,Janet Jackson,56.0,1.0,17;
166372,1989-12-23,73.0,Hide Your Heart,KISS,66.0,66.0,5;
166373,1989-12-23,74.0,Rock Wit'cha,Bobby Brown,61.0,7.0,18;
166374,1989-12-23,75.0,Serious Kinda Girl,Christopher Max,76.0,75.0,4;
166375,1989-12-23,76.0,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,91.0,76.0,2;
166376,1989-12-23,77.0,Heart,Neneh Cherry,82.0,77.0,3;
166377,1989-12-23,78.0,Here And Now,Luther Vandross,,78.0,1;
166378,1989-12-23,79.0,A Girl Like You,The Smithereens,83.0,79.0,3;
166379,1989-12-23,80.0,Lullaby,The Cure,74.0,74.0,4;
166380,1989-12-23,81.0,Never 2 Much Of U,Dino,96.0,81.0,2;
166381,1989-12-23,82.0,Owwww!,Chunky A,77.0,77.0,4;
166382,1989-12-23,83.0,Back To The Bullet,Saraya,71.0,63.0,7;
166383,1989-12-23,84.0,Gimme Your Good Lovin',Diving For Pearls,86.0,84.0,3;
166384,1989-12-23,85.0,I Didn't Mean To Stay All Night,Starship,75.0,75.0,5;
166385,1989-12-23,86.0,Cover Girl,New Kids On The Block,79.0,2.0,15;
166386,1989-12-23,87.0,I Don't Know,Michael Morales,81.0,81.0,3;
166387,1989-12-23,88.0,Roam,The B-52s,,88.0,1;
166388,1989-12-23,89.0,Girl I Am Searching For You,Stevie B,78.0,56.0,12;
166389,1989-12-23,90.0,Too Hot,Loverboy,,90.0,1;
166390,1989-12-23,91.0,Foolish Heart,Sharon Bryant,90.0,90.0,2;
166391,1989-12-23,92.0,Heat Of The Moment,After 7,95.0,74.0,10;
166392,1989-12-23,93.0,Right And Hype,Abstrac',,93.0,1;
166393,1989-12-23,94.0,Talk To Myself,Christopher Williams,89.0,49.0,16;
166394,1989-12-23,95.0,Girl I'm Gonna Miss You,Milli Vanilli,87.0,1.0,21;
166395,1989-12-23,96.0,When I Looked At Him,Expose,88.0,10.0,19;
166396,1989-12-23,97.0,500 Miles,Hooters,97.0,97.0,3;
166397,1989-12-23,98.0,Touch Me Tonight,Shooting Star,85.0,67.0,8;
166398,1989-12-23,99.0,Sold Me Down The River,The Alarm,92.0,50.0,12;
166399,1989-12-23,100.0,I Think I Can Beat Mike Tyson,D.J. Jazzy Jeff & The Fresh Prince,69.0,58.0,8;
166400,1989-12-16,1.0,We Didn't Start The Fire,Billy Joel,1.0,1.0,10;
166401,1989-12-16,2.0,Another Day In Paradise,Phil Collins,2.0,2.0,7;
166402,1989-12-16,3.0,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),5.0,3.0,12;
166403,1989-12-16,4.0,Back To Life,Soul II Soul,6.0,4.0,13;
166404,1989-12-16,5.0,With Every Beat Of My Heart,Taylor Dayne,8.0,5.0,9;
166405,1989-12-16,6.0,Blame It On The Rain,Milli Vanilli,3.0,1.0,11;
166406,1989-12-16,7.0,Pump Up The Jam,Technotronic Featuring Felly,10.0,7.0,10;
166407,1989-12-16,8.0,Rhythm Nation,Janet Jackson,13.0,8.0,6;
166408,1989-12-16,9.0,Living In Sin,Bon Jovi,14.0,9.0,11;
166409,1989-12-16,10.0,Just Like Jesse James,Cher,17.0,10.0,9;
166410,1989-12-16,11.0,Don't Close Your Eyes,KIX,12.0,11.0,15;
166411,1989-12-16,12.0,(It's Just) The Way That You Love Me,Paula Abdul,4.0,3.0,18;
166412,1989-12-16,13.0,This One's For The Children,New Kids On The Block,22.0,13.0,6;
166413,1989-12-16,14.0,Angelia,Richard Marx,7.0,4.0,11;
166414,1989-12-16,15.0,Everything,Jody Watley,18.0,15.0,10;
166415,1989-12-16,16.0,How Am I Supposed To Live Without You,Michael Bolton,26.0,16.0,8;
166416,1989-12-16,17.0,Love Shack,The B-52s,9.0,3.0,16;
166417,1989-12-16,18.0,Leave A Light On,Belinda Carlisle,11.0,11.0,12;
166418,1989-12-16,19.0,Swing The Mood,Jive Bunny & The Mastermixers,23.0,19.0,8;
166419,1989-12-16,20.0,Love Song,Tesla,20.0,20.0,12;
166420,1989-12-16,21.0,Just Between You And Me,Lou Gramm,24.0,21.0,8;
166421,1989-12-16,22.0,The Last Worthless Evening,Don Henley,21.0,21.0,11;
166422,1989-12-16,23.0,Free Fallin',Tom Petty,28.0,23.0,7;
166423,1989-12-16,24.0,When I See You Smile,Bad English,15.0,1.0,14;
166424,1989-12-16,25.0,When The Night Comes,Joe Cocker,33.0,25.0,8;
166425,1989-12-16,26.0,Rock And A Hard Place,The Rolling Stones,31.0,26.0,7;
166426,1989-12-16,27.0,Oh Father,Madonna,30.0,27.0,6;
166427,1989-12-16,28.0,Two To Make It Right,Seduction,38.0,28.0,6;
166428,1989-12-16,29.0,Don't Make Me Over,Sybil,25.0,20.0,13;
166429,1989-12-16,30.0,Downtown Train,Rod Stewart,36.0,30.0,4;
166430,1989-12-16,31.0,I Live By The Groove,Paul Carrack,32.0,31.0,8;
166431,1989-12-16,32.0,Poison,Alice Cooper,16.0,7.0,13;
166432,1989-12-16,33.0,Bust A Move,Young M.C.,27.0,7.0,21;
166433,1989-12-16,34.0,I Remember You,Skid Row,40.0,34.0,5;
166434,1989-12-16,35.0,Don't Shut Me Out,Kevin Paige,19.0,18.0,18;
166435,1989-12-16,36.0,The Arms Of Orion,Prince With Sheena Easton,39.0,36.0,9;
166436,1989-12-16,37.0,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,42.0,37.0,5;
166437,1989-12-16,38.0,Me So Horny,The 2 Live Crew,37.0,26.0,15;
166438,1989-12-16,39.0,Fool For Your Loving,Whitesnake,41.0,39.0,15;
166439,1989-12-16,40.0,Janie's Got A Gun,Aerosmith,49.0,40.0,4;
166440,1989-12-16,41.0,Tender Lover,Babyface,44.0,41.0,5;
166441,1989-12-16,42.0,Peace In Our Time,Eddie Money,48.0,42.0,3;
166442,1989-12-16,43.0,I Want You,Shana,43.0,43.0,11;
166443,1989-12-16,44.0,Listen To Your Heart,Roxette,35.0,1.0,17;
166444,1989-12-16,45.0,Get On Your Feet,Gloria Estefan,29.0,11.0,12;
166445,1989-12-16,46.0,What Kind Of Man Would I Be?,Chicago,55.0,46.0,3;
166446,1989-12-16,47.0,Was It Nothing At All,Michael Damian,47.0,47.0,8;
166447,1989-12-16,48.0,The Angel Song,Great White,34.0,30.0,12;
166448,1989-12-16,49.0,Principal's Office,Young M.C.,52.0,49.0,4;
166449,1989-12-16,50.0,Tell Me Why,Expose,67.0,50.0,2;
166450,1989-12-16,51.0,Kickstart My Heart,Motley Crue,54.0,51.0,4;
166451,1989-12-16,52.0,If You Leave Me Now,Jaya,53.0,52.0,10;
166452,1989-12-16,53.0,Steamy Windows,Tina Turner,61.0,53.0,4;
166453,1989-12-16,54.0,No More Lies,Michel'le,60.0,54.0,5;
166454,1989-12-16,55.0,Pretending,Eric Clapton,56.0,55.0,5;
166455,1989-12-16,56.0,Miss You Much,Janet Jackson,45.0,1.0,16;
166456,1989-12-16,57.0,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),62.0,57.0,4;
166457,1989-12-16,58.0,Didn't I (Blow Your Mind),New Kids On The Block,46.0,8.0,14;
166458,1989-12-16,59.0,Nothin' To Hide,Poco,71.0,59.0,3;
166459,1989-12-16,60.0,We Can't Go Wrong,The Cover Girls,73.0,60.0,2;
166460,1989-12-16,61.0,Rock Wit'cha,Bobby Brown,50.0,7.0,17;
166461,1989-12-16,62.0,French Kiss,Lil Louis,51.0,50.0,9;
166462,1989-12-16,63.0,Over And Over,Pajama Party,59.0,59.0,6;
166463,1989-12-16,64.0,Wait For You,Bonham,66.0,64.0,4;
166464,1989-12-16,65.0,Dangerous,Roxette,,65.0,1;
166465,1989-12-16,66.0,Hide Your Heart,KISS,70.0,66.0,4;
166466,1989-12-16,67.0,Woman In Chains,Tears For Fears,78.0,67.0,3;
166467,1989-12-16,68.0,Here We Are,Gloria Estefan,,68.0,1;
166468,1989-12-16,69.0,I Think I Can Beat Mike Tyson,D.J. Jazzy Jeff & The Fresh Prince,58.0,58.0,7;
166469,1989-12-16,70.0,Don't Take It Personal,Jermaine Jackson,81.0,70.0,3;
166470,1989-12-16,71.0,Back To The Bullet,Saraya,64.0,63.0,6;
166471,1989-12-16,72.0,Opposites Attract,Paula Abdul (Duet With The Wild Pair),,72.0,1;
166472,1989-12-16,73.0,Electric Boogie,Marcia Griffiths,90.0,73.0,2;
166473,1989-12-16,74.0,Lullaby,The Cure,76.0,74.0,3;
166474,1989-12-16,75.0,I Didn't Mean To Stay All Night,Starship,77.0,75.0,4;
166475,1989-12-16,76.0,Serious Kinda Girl,Christopher Max,85.0,76.0,3;
166476,1989-12-16,77.0,Owwww!,Chunky A,88.0,77.0,3;
166477,1989-12-16,78.0,Girl I Am Searching For You,Stevie B,68.0,56.0,11;
166478,1989-12-16,79.0,Cover Girl,New Kids On The Block,65.0,2.0,14;
166479,1989-12-16,80.0,I Will Survive,SaFire,,80.0,1;
166480,1989-12-16,81.0,I Don't Know,Michael Morales,92.0,81.0,2;
166481,1989-12-16,82.0,Heart,Neneh Cherry,94.0,82.0,2;
166482,1989-12-16,83.0,A Girl Like You,The Smithereens,93.0,83.0,2;
166483,1989-12-16,84.0,Personal Jesus,Depeche Mode,97.0,84.0,2;
166484,1989-12-16,85.0,Touch Me Tonight,Shooting Star,69.0,67.0,7;
166485,1989-12-16,86.0,Gimme Your Good Lovin',Diving For Pearls,96.0,86.0,2;
166486,1989-12-16,87.0,Girl I'm Gonna Miss You,Milli Vanilli,82.0,1.0,20;
166487,1989-12-16,88.0,When I Looked At Him,Expose,74.0,10.0,18;
166488,1989-12-16,89.0,Talk To Myself,Christopher Williams,75.0,49.0,15;
166489,1989-12-16,90.0,Foolish Heart,Sharon Bryant,,90.0,1;
166490,1989-12-16,91.0,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,,91.0,1;
166491,1989-12-16,92.0,Sold Me Down The River,The Alarm,80.0,50.0,11;
166492,1989-12-16,93.0,Love In An Elevator,Aerosmith,63.0,5.0,16;
166493,1989-12-16,94.0,Sunshine,Dino,83.0,23.0,15;
166494,1989-12-16,95.0,Heat Of The Moment,After 7,79.0,74.0,9;
166495,1989-12-16,96.0,Never 2 Much Of U,Dino,,96.0,1;
166496,1989-12-16,97.0,500 Miles,Hooters,99.0,97.0,2;
166497,1989-12-16,98.0,I'm Not The Man I Used To Be,Fine Young Cannibals,57.0,54.0,6;
166498,1989-12-16,99.0,Dr. Feelgood,Motley Crue,72.0,6.0,16;
166499,1989-12-16,100.0,Radar Love,White Lion,91.0,59.0,13;
166500,1989-12-09,1.0,We Didn't Start The Fire,Billy Joel,2.0,1.0,9;
166501,1989-12-09,2.0,Another Day In Paradise,Phil Collins,6.0,2.0,6;
166502,1989-12-09,3.0,Blame It On The Rain,Milli Vanilli,1.0,1.0,10;
166503,1989-12-09,4.0,(It's Just) The Way That You Love Me,Paula Abdul,3.0,3.0,17;
166504,1989-12-09,5.0,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),8.0,5.0,11;
166505,1989-12-09,6.0,Back To Life,Soul II Soul,7.0,6.0,12;
166506,1989-12-09,7.0,Angelia,Richard Marx,4.0,4.0,10;
166507,1989-12-09,8.0,With Every Beat Of My Heart,Taylor Dayne,11.0,8.0,8;
166508,1989-12-09,9.0,Love Shack,The B-52s,5.0,3.0,15;
166509,1989-12-09,10.0,Pump Up The Jam,Technotronic Featuring Felly,16.0,10.0,9;
166510,1989-12-09,11.0,Leave A Light On,Belinda Carlisle,13.0,11.0,11;
166511,1989-12-09,12.0,Don't Close Your Eyes,KIX,12.0,12.0,14;
166512,1989-12-09,13.0,Rhythm Nation,Janet Jackson,17.0,13.0,5;
166513,1989-12-09,14.0,Living In Sin,Bon Jovi,15.0,14.0,10;
166514,1989-12-09,15.0,When I See You Smile,Bad English,9.0,1.0,13;
166515,1989-12-09,16.0,Poison,Alice Cooper,10.0,7.0,12;
166516,1989-12-09,17.0,Just Like Jesse James,Cher,19.0,17.0,8;
166517,1989-12-09,18.0,Everything,Jody Watley,24.0,18.0,9;
166518,1989-12-09,19.0,Don't Shut Me Out,Kevin Paige,18.0,18.0,17;
166519,1989-12-09,20.0,Love Song,Tesla,21.0,20.0,11;
166520,1989-12-09,21.0,The Last Worthless Evening,Don Henley,23.0,21.0,10;
166521,1989-12-09,22.0,This One's For The Children,New Kids On The Block,28.0,22.0,5;
166522,1989-12-09,23.0,Swing The Mood,Jive Bunny & The Mastermixers,26.0,23.0,7;
166523,1989-12-09,24.0,Just Between You And Me,Lou Gramm,27.0,24.0,7;
166524,1989-12-09,25.0,Don't Make Me Over,Sybil,20.0,20.0,12;
166525,1989-12-09,26.0,How Am I Supposed To Live Without You,Michael Bolton,29.0,26.0,7;
166526,1989-12-09,27.0,Bust A Move,Young M.C.,25.0,7.0,20;
166527,1989-12-09,28.0,Free Fallin',Tom Petty,31.0,28.0,6;
166528,1989-12-09,29.0,Get On Your Feet,Gloria Estefan,14.0,11.0,11;
166529,1989-12-09,30.0,Oh Father,Madonna,35.0,30.0,5;
166530,1989-12-09,31.0,Rock And A Hard Place,The Rolling Stones,34.0,31.0,6;
166531,1989-12-09,32.0,I Live By The Groove,Paul Carrack,32.0,32.0,7;
166532,1989-12-09,33.0,When The Night Comes,Joe Cocker,37.0,33.0,7;
166533,1989-12-09,34.0,The Angel Song,Great White,30.0,30.0,11;
166534,1989-12-09,35.0,Listen To Your Heart,Roxette,22.0,1.0,16;
