,date,rank,song,artist,last-week,peak-rank,weeks-on-board;
156010,1991-12-14,11.0,2 Legit 2 Quit,M.C. Hammer,17.0,11.0,6;
156011,1991-12-14,12.0,Cream,Prince And The N.P.G.,7.0,1.0,12;
156012,1991-12-14,13.0,Keep Coming Back,Richard Marx,13.0,13.0,7;
156013,1991-12-14,14.0,O.P.P.,Naughty By Nature,10.0,6.0,15;
156014,1991-12-14,15.0,Let's Talk About Sex,Salt-N-Pepa,14.0,13.0,17;
156015,1991-12-14,16.0,Don't Cry,Guns N' Roses,16.0,10.0,13;
156016,1991-12-14,17.0,No Son Of Mine,Genesis,20.0,17.0,7;
156017,1991-12-14,18.0,Can't Stop This Thing We Started,Bryan Adams,12.0,2.0,14;
156018,1991-12-14,19.0,Do Anything,Natural Selection,18.0,2.0,19;
156019,1991-12-14,20.0,Set The Night To Music,Roberta Flack With Maxi Priest,19.0,6.0,13;
156020,1991-12-14,21.0,Street Of Dreams,Nia Peeples,21.0,12.0,10;
156021,1991-12-14,22.0,Live For Loving You,Gloria Estefan,25.0,22.0,10;
156022,1991-12-14,23.0,Smells Like Teen Spirit,Nirvana,40.0,23.0,2;
156023,1991-12-14,24.0,Romantic,Karyn White,22.0,1.0,18;
156024,1991-12-14,25.0,Forever My Lady,Jodeci,27.0,25.0,8;
156025,1991-12-14,26.0,Broken Arrow,Rod Stewart,28.0,26.0,9;
156026,1991-12-14,27.0,Hole Hearted,Extreme,24.0,4.0,20;
156027,1991-12-14,28.0,Emotions,Mariah Carey,23.0,1.0,16;
156028,1991-12-14,29.0,I Love Your Smile,Shanice,42.0,29.0,4;
156029,1991-12-14,30.0,Angel Baby,Angelica,31.0,30.0,9;
156030,1991-12-14,31.0,Change,Lisa Stansfield,36.0,31.0,7;
156031,1991-12-14,32.0,Mind Playing Tricks On Me,Geto Boys,30.0,30.0,11;
156032,1991-12-14,33.0,Mysterious Ways,U2,48.0,33.0,4;
156033,1991-12-14,34.0,Don't Let The Sun Go Down On Me,George Michael/Elton John,72.0,34.0,2;
156034,1991-12-14,35.0,Spending My Time,Roxette,35.0,35.0,8;
156035,1991-12-14,36.0,Addams Groove,M.C. Hammer,84.0,36.0,2;
156036,1991-12-14,37.0,Tell Me What You Want Me To Do,Tevin Campbell,38.0,37.0,6;
156037,1991-12-14,38.0,I Wonder Why,Curtis Stigers,26.0,9.0,15;
156038,1991-12-14,39.0,Running Back To You,Vanessa Williams,32.0,18.0,19;
156039,1991-12-14,40.0,Enter Sandman,Metallica,33.0,16.0,17;
156040,1991-12-14,41.0,Top Of The World,Van Halen,34.0,27.0,10;
156041,1991-12-14,42.0,Love Me All Up,Stacy Earl,43.0,42.0,5;
156042,1991-12-14,43.0,The Way I Feel About You,Karyn White,55.0,43.0,3;
156043,1991-12-14,44.0,Housecall,Shabba Ranks (Featuring Maxi Priest),37.0,37.0,8;
156044,1991-12-14,45.0,Tender Kisses,Tracie Spencer,45.0,44.0,9;
156045,1991-12-14,46.0,Save Up All Your Tears,Cher,46.0,46.0,9;
156046,1991-12-14,47.0,Home Sweet Home,Motley Crue,47.0,47.0,6;
156047,1991-12-14,48.0,Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,39.0,20.0,10;
156048,1991-12-14,49.0,Diamonds And Pearls,Prince And The N.P.G.,88.0,49.0,2;
156049,1991-12-14,50.0,Is It Good To You,Heavy D & The Boyz,51.0,50.0,4;
156050,1991-12-14,51.0,The One And Only,Chesney Hawkes,29.0,10.0,20;
156051,1991-12-14,52.0,Too Blind To See It,Kym Sims,52.0,52.0,5;
156052,1991-12-14,53.0,Keep It Comin',Keith Sweat,66.0,53.0,3;
156053,1991-12-14,54.0,Can't Truss It,Public Enemy,54.0,50.0,9;
156054,1991-12-14,55.0,I've Got A Lot To Learn About Love,The Storm,58.0,54.0,8;
156055,1991-12-14,56.0,The Unforgiven,Metallica,65.0,56.0,2;
156056,1991-12-14,57.0,Shot Of Poison,Lita Ford,57.0,45.0,7;
156057,1991-12-14,58.0,Don't Want To Be A Fool,Luther Vandross,44.0,9.0,20;
156058,1991-12-14,59.0,Groovy Train,The Farm,49.0,41.0,12;
